Docklight Log File (ASCII) - Started 15/12/2017 16:18:04.936 

15/12/2017 16:18:10.465 [RX] - 1, 87, <CR><LF>
2, 87, <CR><LF>
3, 87, <CR><LF>
4, 88, <CR><LF>
5, 87, <CR><LF>
6, 87, <CR><LF>
7, 87, <CR><LF>
8, 87, <CR><LF>
9, 87, <CR><LF>
10, 85, <CR><LF>
11, 81, <CR><LF>
12, 82, <CR><LF>
13, 87, <CR><LF>
14, 91, <CR><LF>
15, 95, <CR><LF>
16, 98, <CR><LF>
17, 99, <CR><LF>
18, 98, <CR><LF>
19, 98, <CR><LF>
20, 98, <CR><LF>
21, 98, <CR><LF>
22, 98, <CR><LF>
23, 98, <CR><LF>
24, 98, <CR><LF>
25, 99, <CR><LF>
26, 98, <CR><LF>
27, 98, <CR><LF>
28, 98, <CR><LF>
29, 98, <CR><LF>
30, 98, <CR><LF>
31, 98, <CR><LF>
32, 98, <CR><LF>
33, 98, <CR><LF>
34, 99, <CR><LF>
35, 98, <CR><LF>
36, 98, <CR><LF>
37, 98, <CR><LF>
38, 98, <CR><LF>
39, 98, <CR><LF>
40, 98, <CR><LF>
41, 98, <CR><LF>
42, 99, <CR><LF>
43, 98, <CR><LF>
44, 98, <CR><LF>
45, 98, <CR><LF>
46, 98, <CR><LF>
47, 98, <CR><LF>
48, 98, <CR><LF>
49, 98, <CR><LF>
50, 99, <CR><LF>
51, 98, <CR><LF>
52, 98, <CR><LF>
53, 98, <CR><LF>
54, 98, <CR><LF>
55, 98, <CR><LF>
56, 98, <CR><LF>
57, 98, <CR><LF>
58, 99, <CR><LF>
59, 98, <CR><LF>
60, 98, <CR><LF>
61, 98, <CR><LF>
62, 98, <CR><LF>
63, 98, <CR><LF>
64, 98, <CR><LF>
65, 98, <CR><LF>
66, 99, <CR><LF>
67, 98, <CR><LF>
68, 98, <CR><LF>
69, 98, <CR><LF>
70, 98, <CR><LF>
71, 98, <CR><LF>
72, 98, <CR><LF>
73, 98, <CR><LF>
74, 99, <CR><LF>
75, 98, <CR><LF>
76, 98, <CR><LF>
77, 98, <CR><LF>
78, 98, <CR><LF>
79, 98, <CR><LF>
80, 98, <CR><LF>
81, 98, <CR><LF>
82, 99, <CR><LF>
83, 98, <CR><LF>
84, 98, <CR><LF>
85, 98, <CR><LF>
86, 98, <CR><LF>
87, 98, <CR><LF>
88, 98, <CR><LF>
89, 98, <CR><LF>
90, 98, <CR><LF>
91, 99, <CR><LF>
92, 98, <CR><LF>
93, 98, <CR><LF>
94, 98, <CR><LF>
95, 98, <CR><LF>
96, 98, <CR><LF>
97, 98, <CR><LF>
98, 99, <CR><LF>
99, 98, <CR><LF>
100, 98, <CR><LF>
101, 98, <CR><LF>
102, 98, <CR><LF>
103, 98, <CR><LF>
104, 98, <CR><LF>
105, 98, <CR><LF>
106, 99, <CR><LF>
107, 98, <CR><LF>
108, 98, <CR><LF>
109, 98, <CR><LF>
110, 98, <CR><LF>
111, 98, <CR><LF>
112, 98, <CR><LF>
113, 98, <CR><LF>
114, 98, <CR><LF>
115, 99, <CR><LF>
116, 98, <CR><LF>
117, 98, <CR><LF>
118, 98, <CR><LF>
Docklight Log File (ASCII) - Started 15/12/2017 16:28:04.925 
592, 98, <CR><LF>
593, 98, <CR><LF>
594, 98, <CR><LF>
595, 99, <CR><LF>
596, 98, <CR><LF>
597, 98, <CR><LF>
598, 98, <CR><LF>
599, 98, <CR><LF>
600, 98, <CR><LF>
601, 98, <CR><LF>
602, 98, <CR><LF>
603, 95, <CR><LF>
604, 90, <CR><LF>
605, 85, <CR><LF>
606, 82, <CR><LF>
607, 76, <CR><LF>
608, 73, <CR><LF>
609, 74, <CR><LF>
610, 81, <CR><LF>
611, 77, <CR><LF>
612, 76, <CR><LF>
613, 74, <CR><LF>
614, 79, <CR><LF>
615, 82, <CR><LF>
616, 87, <CR><LF>
617, 91, <CR><LF>
618, 95, <CR><LF>
619, 98, <CR><LF>
620, 98, <CR><LF>
621, 98, <CR><LF>
622, 98, <CR><LF>
623, 99, <CR><LF>
624, 98, <CR><LF>
Docklight Log File (ASCII) - Started 15/12/2017 16:30:50.227 
758, 115, <CR><LF>
759, 115, <CR><LF>
760, 116, <CR><LF>
761, 115, <CR><LF>
762, 115, <CR><LF>
763, 115, <CR><LF>
764, 115, <CR><LF>
765, 115, <CR><LF>
766, 115, <CR><LF>
767, 115, <CR><LF>
768, 116, <CR><LF>
769, 115, <CR><LF>
770, 115, <CR><LF>
771, 115, <CR><LF>
772, 115, <CR><LF>
773, 115, <CR><LF>
774, 115, <CR><LF>
775, 115, <CR><LF>
776, 116, <CR><LF>
777, 115, <CR><LF>
778, 115, <CR><LF>
779, 115, <CR><LF>
780, 115, <CR><LF>
781, 115, <CR><LF>
782, 115, <CR><LF>
783, 115, <CR><LF>
784, 116, <CR><LF>
785, 115, <CR><LF>
786, 115, <CR><LF>
787, 115, <CR><LF>
788, 115, <CR><LF>
789, 115, <CR><LF>
790, 115, <CR><LF>
791, 115, <CR><LF>
792, 116, <CR><LF>
793, 115, <CR><LF>
794, 115, <CR><LF>
795, 115, <CR><LF>
796, 115, <CR><LF>
797, 115, <CR><LF>
798, 115, <CR><LF>
799, 116, <CR><LF>
800, 115, <CR><LF>
801, 115, <CR><LF>
802, 115, <CR><LF>
803, 115, <CR><LF>
804, 115, <CR><LF>
805, 115, <CR><LF>
806, 115, <CR><LF>
807, 116, <CR><LF>
808, 115, <CR><LF>
809, 115, <CR><LF>
810, 115, <CR><LF>
811, 115, <CR><LF>
812, 115, <CR><LF>
813, 115, <CR><LF>
814, 115, <CR><LF>
815, 116, <CR><LF>
816, 115, <CR><LF>
817, 115, <CR><LF>
818, 115, <CR><LF>
819, 115, <CR><LF>
820, 115, <CR><LF>
821, 115, <CR><LF>
822, 115, <CR><LF>
823, 116, <CR><LF>
824, 115, <CR><LF>
825, 115, <CR><LF>
826, 115, <CR><LF>
827, 115, <CR><LF>
828, 115, <CR><LF>
829, 115, <CR><LF>
830, 115, <CR><LF>
831, 116, <CR><LF>
832, 115, <CR><LF>
833, 115, <CR><LF>
834, 115, <CR><LF>
835, 115, <CR><LF>
836, 115, <CR><LF>
837, 115, <CR><LF>
838, 116, <CR><LF>
839, 115, <CR><LF>
840, 115, <CR><LF>
841, 115, <CR><LF>
842, 115, <CR><LF>
843, 115, <CR><LF>
844, 115, <CR><LF>
845, 115, <CR><LF>
846, 116, <CR><LF>
847, 115, <CR><LF>
848, 115, <CR><LF>
849, 115, <CR><LF>
850, 115, <CR><LF>
851, 115, <CR><LF>
852, 115, <CR><LF>
853, 115, <CR><LF>
854, 116, <CR><LF>
855, 115, <CR><LF>
856, 115, <CR><LF>
857, 115, <CR><LF>
858, 115, <CR><LF>
859, 115, <CR><LF>
860, 115, <CR><LF>
861, 115, <CR><LF>
862, 116, <CR><LF>
863, 115, <CR><LF>
864, 115, <CR><LF>
865, 115, <CR><LF>
866, 115, <CR><LF>
867, 115, <CR><LF>
868, 115, <CR><LF>
869, 115, <CR><LF>
870, 116, <CR><LF>
871, 115, <CR><LF>
872, 115, <CR><LF>
873, 115, <CR><LF>
874, 115, <CR><LF>
875, 115, <CR><LF>
876, 115, <CR><LF>
877, 116, <CR><LF>
878, 115, <CR><LF>
879, 115, <CR><LF>
880, 115, <CR><LF>
881, 115, <CR><LF>
882, 115, <CR><LF>
883, 115, <CR><LF>
884, 115, <CR><LF>
885, 116, <CR><LF>
886, 115, <CR><LF>
887, 115, <CR><LF>
888, 115, <CR><LF>
889, 115, <CR><LF>
890, 115, <CR><LF>
891, 115, <CR><LF>
892, 115, <CR><LF>
893, 116, <CR><LF>
894, 115, <CR><LF>
895, 115, <CR><LF>
896, 115, <CR><LF>
897, 115, <CR><LF>
898, 115, <CR><LF>
899, 115, <CR><LF>
900, 115, <CR><LF>
901, 109, <CR><LF>
902, 84, <CR><LF>
903, 84, <CR><LF>
904, 84, <CR><LF>
905, 85, <CR><LF>
906, 84, <CR><LF>
907, 84, <CR><LF>
908, 84, <CR><LF>
909, 84, <CR><LF>
910, 84, <CR><LF>
911, 84, <CR><LF>
912, 84, <CR><LF>
913, 85, <CR><LF>
914, 84, <CR><LF>
915, 84, <CR><LF>
916, 84, <CR><LF>
917, 84, <CR><LF>
918, 84, <CR><LF>
919, 84, <CR><LF>
920, 84, <CR><LF>
921, 84, <CR><LF>
922, 85, <CR><LF>
923, 84, <CR><LF>
924, 84, <CR><LF>
925, 84, <CR><LF>
926, 84, <CR><LF>
927, 84, <CR><LF>
928, 84, <CR><LF>
929, 84, <CR><LF>
930, 85, <CR><LF>
931, 84, <CR><LF>
932, 84, <CR><LF>
933, 84, <CR><LF>
934, 84, <CR><LF>
935, 84, <CR><LF>
936, 84, <CR><LF>
937, 84, <CR><LF>
938, 85, <CR><LF>
939, 84, <CR><LF>
940, 84, <CR><LF>
941, 84, <CR><LF>
942, 84, <CR><LF>
943, 84, <CR><LF>
944, 84, <CR><LF>
945, 84, <CR><LF>
946, 84, <CR><LF>
947, 85, <CR><LF>
948, 84, <CR><LF>
949, 84, <CR><LF>
950, 84, <CR><LF>
951, 84, <CR><LF>
952, 84, <CR><LF>
953, 84, <CR><LF>
954, 84, <CR><LF>
955, 85, <CR><LF>
956, 84, <CR><LF>
957, 84, <CR><LF>
958, 84, <CR><LF>
959, 84, <CR><LF>
960, 84, <CR><LF>
961, 84, <CR><LF>
962, 84, <CR><LF>
963, 85, <CR><LF>
964, 84, <CR><LF>
965, 84, <CR><LF>
966, 84, <CR><LF>
